subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
64282000,OCN무비즈2,20240301045929,48,황산벌,"오늘의 현실을 누구나 알고 있는 역사의 한 장면에 빗대어 웃음과 쾌감을 불러오는 정치풍자만화 같은 <황산벌>은 유려한 형식이나 세련된 표현의 미를 찾는 이들에겐 거칠고 투박해 보여도 다른 영화에서 볼 수 없는 촌철살인의 미학이 있다. 그것은 계백의 머리를 칼로 내리칠 때, 그의 뇌리를 스쳤던 아내의 울부짖음 같은 것이다. 사내들의 대의명분과 비장함을 깔아뭉개는 그녀의 항변은 잊지 못할 잔영을 남기진 않지만 그 공명은 오래 깊이 울려퍼진다. 별안간 뒤통수를 치는 그런 공감이 <황산벌>을 좋은 코미디로 기억하게 만드는 강력한 이유라 할 수 있다.","정진영,이문식,박중훈,김병서,이호성,안내상,류승수,신정근"
62371000,OCN무비즈2,20240301190433,0,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
59899000,OCN무비즈2,20240301204643,7,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
66578000,OCN무비즈2,20240301032433,286,황산벌,"오늘의 현실을 누구나 알고 있는 역사의 한 장면에 빗대어 웃음과 쾌감을 불러오는 정치풍자만화 같은 <황산벌>은 유려한 형식이나 세련된 표현의 미를 찾는 이들에겐 거칠고 투박해 보여도 다른 영화에서 볼 수 없는 촌철살인의 미학이 있다. 그것은 계백의 머리를 칼로 내리칠 때, 그의 뇌리를 스쳤던 아내의 울부짖음 같은 것이다. 사내들의 대의명분과 비장함을 깔아뭉개는 그녀의 항변은 잊지 못할 잔영을 남기진 않지만 그 공명은 오래 깊이 울려퍼진다. 별안간 뒤통수를 치는 그런 공감이 <황산벌>을 좋은 코미디로 기억하게 만드는 강력한 이유라 할 수 있다.","정진영,이문식,박중훈,김병서,이호성,안내상,류승수,신정근"
60727000,OCN무비즈2,20240301024618,241,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민"
64548000,OCN무비즈2,20240301200304,19,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
66159000,OCN무비즈2,20240301203420,1256,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
64929000,OCN무비즈2,20240301202053,35,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
66263000,OCN무비즈2,20240301022008,0,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민"
67288000,OCN무비즈2,20240301045034,3926,황산벌,"오늘의 현실을 누구나 알고 있는 역사의 한 장면에 빗대어 웃음과 쾌감을 불러오는 정치풍자만화 같은 <황산벌>은 유려한 형식이나 세련된 표현의 미를 찾는 이들에겐 거칠고 투박해 보여도 다른 영화에서 볼 수 없는 촌철살인의 미학이 있다. 그것은 계백의 머리를 칼로 내리칠 때, 그의 뇌리를 스쳤던 아내의 울부짖음 같은 것이다. 사내들의 대의명분과 비장함을 깔아뭉개는 그녀의 항변은 잊지 못할 잔영을 남기진 않지만 그 공명은 오래 깊이 울려퍼진다. 별안간 뒤통수를 치는 그런 공감이 <황산벌>을 좋은 코미디로 기억하게 만드는 강력한 이유라 할 수 있다.","정진영,이문식,박중훈,김병서,이호성,안내상,류승수,신정근"
67304000,OCN무비즈2,20240301191123,27,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
